site_id,group,mae,rmse,nmae,nrmse,normalization_capacity,shape,stage,seed
7,stage4a_cross_attention,0.0556744412,0.1043933406,0.0556744412,0.1043933406,1.0000000000,"[2545, 24]",4B,2021
8,stage4a_cross_attention,0.0428006910,0.0824924111,0.0428006910,0.0824924111,1.0000000000,"[2545, 24]",4B,2021
9,stage4a_cross_attention,0.0495934747,0.0972321108,0.0495934747,0.0972321108,1.0000000000,"[2545, 24]",4B,2021
0,cora_aligned,0.0496846586,0.0941801071,0.0496846586,0.0941801071,1.0000000000,"[2545, 24]",4B,2021
1,cora_aligned,0.0559410974,0.1054354906,0.0559410974,0.1054354906,1.0000000000,"[2545, 24]",4B,2021
2,cora_aligned,0.0465159342,0.0935999975,0.0465159342,0.0935999975,1.0000000000,"[2545, 24]",4B,2021
3,cora_aligned,0.0475777462,0.0976450071,0.0475777462,0.0976450071,1.0000000000,"[2545, 24]",4B,2021
4,cora_aligned,0.0501792021,0.0966025889,0.0501792021,0.0966025889,1.0000000000,"[2545, 24]",4B,2021
5,cora_aligned,0.0488573276,0.0963293985,0.0488573276,0.0963293985,1.0000000000,"[2545, 24]",4B,2021
6,cora_aligned,0.0562832952,0.1104848608,0.0562832952,0.1104848608,1.0000000000,"[2545, 24]",4B,2021
7,cora_aligned,0.0582865998,0.1057103798,0.0582865998,0.1057103798,1.0000000000,"[2545, 24]",4B,2021
8,cora_aligned,0.0437666029,0.0823342204,0.0437666029,0.0823342204,1.0000000000,"[2545, 24]",4B,2021
9,cora_aligned,0.0481604859,0.0948131233,0.0481604859,0.0948131233,1.0000000000,"[2545, 24]",4B,2021
0,cora_shuffled,0.0795814469,0.1728653610,0.0795814469,0.1728653610,1.0000000000,"[2545, 24]",4B,2021
1,cora_shuffled,0.0837530270,0.1758694351,0.0837530270,0.1758694351,1.0000000000,"[2545, 24]",4B,2021
2,cora_shuffled,0.0811187103,0.1694635451,0.0811187103,0.1694635451,1.0000000000,"[2545, 24]",4B,2021
3,cora_shuffled,0.0820388570,0.1695578396,0.0820388570,0.1695578396,1.0000000000,"[2545, 24]",4B,2021
4,cora_shuffled,0.0873465687,0.1828775704,0.0873465687,0.1828775704,1.0000000000,"[2545, 24]",4B,2021
5,cora_shuffled,0.0824351609,0.1716007590,0.0824351609,0.1716007590,1.0000000000,"[2545, 24]",4B,2021
6,cora_shuffled,0.0895206258,0.1878882647,0.0895206258,0.1878882647,1.0000000000,"[2545, 24]",4B,2021
7,cora_shuffled,0.0905516893,0.1807538420,0.0905516893,0.1807538420,1.0000000000,"[2545, 24]",4B,2021
8,cora_shuffled,0.0787069052,0.1667783260,0.0787069052,0.1667783260,1.0000000000,"[2545, 24]",4B,2021
9,cora_shuffled,0.0836018324,0.1763184965,0.0836018324,0.1763184965,1.0000000000,"[2545, 24]",4B,2021
0,chronos2_baseline,0.0563864820,0.1146576628,0.0563864820,0.1146576628,1.0000000000,"[2545, 24]",4B,2022
1,chronos2_baseline,0.0695754588,0.1518158764,0.0695754588,0.1518158764,1.0000000000,"[2545, 24]",4B,2022
2,chronos2_baseline,0.0642672479,0.1453535110,0.0642672479,0.1453535110,1.0000000000,"[2545, 24]",4B,2022
3,chronos2_baseline,0.0655679703,0.1446676403,0.0655679703,0.1446676403,1.0000000000,"[2545, 24]",4B,2022
4,chronos2_baseline,0.0681890026,0.1318674684,0.0681890026,0.1318674684,1.0000000000,"[2545, 24]",4B,2022
5,chronos2_baseline,0.0651458725,0.1418315768,0.0651458725,0.1418315768,1.0000000000,"[2545, 24]",4B,2022
6,chronos2_baseline,0.0737863928,0.1485624909,0.0737863928,0.1485624909,1.0000000000,"[2545, 24]",4B,2022
7,chronos2_baseline,0.0721924976,0.1380827278,0.0721924976,0.1380827278,1.0000000000,"[2545, 24]",4B,2022
8,chronos2_baseline,0.0576778241,0.1122439206,0.0576778241,0.1122439206,1.0000000000,"[2545, 24]",4B,2022
9,chronos2_baseline,0.0684688762,0.1349769235,0.0684688762,0.1349769235,1.0000000000,"[2545, 24]",4B,2022
0,stage4a_cross_attention,0.0485650674,0.0958226547,0.0485650674,0.0958226547,1.0000000000,"[2545, 24]",4B,2022
1,stage4a_cross_attention,0.0549415089,0.1063166931,0.0549415089,0.1063166931,1.0000000000,"[2545, 24]",4B,2022
2,stage4a_cross_attention,0.0467644408,0.0945025012,0.0467644408,0.0945025012,1.0000000000,"[2545, 24]",4B,2022
3,stage4a_cross_attention,0.0478918292,0.1000233442,0.0478918292,0.1000233442,1.0000000000,"[2545, 24]",4B,2022
4,stage4a_cross_attention,0.0512710027,0.1004674584,0.0512710027,0.1004674584,1.0000000000,"[2545, 24]",4B,2022
5,stage4a_cross_attention,0.0497729033,0.1021755487,0.0497729033,0.1021755487,1.0000000000,"[2545, 24]",4B,2022
6,stage4a_cross_attention,0.0576644018,0.1167465523,0.0576644018,0.1167465523,1.0000000000,"[2545, 24]",4B,2022
7,stage4a_cross_attention,0.0591505729,0.1118681207,0.0591505729,0.1118681207,1.0000000000,"[2545, 24]",4B,2022
8,stage4a_cross_attention,0.0449683517,0.0867363065,0.0449683517,0.0867363065,1.0000000000,"[2545, 24]",4B,2022
9,stage4a_cross_attention,0.0505906977,0.1004506052,0.0505906977,0.1004506052,1.0000000000,"[2545, 24]",4B,2022
0,cora_aligned,0.0467513055,0.0926112980,0.0467513055,0.0926112980,1.0000000000,"[2545, 24]",4B,2022
1,cora_aligned,0.0532320626,0.1030946821,0.0532320626,0.1030946821,1.0000000000,"[2545, 24]",4B,2022
2,cora_aligned,0.0452764742,0.0915690064,0.0452764742,0.0915690064,1.0000000000,"[2545, 24]",4B,2022
3,cora_aligned,0.0473274924,0.0974400342,0.0473274924,0.0974400342,1.0000000000,"[2545, 24]",4B,2022
4,cora_aligned,0.0494644716,0.0971978009,0.0494644716,0.0971978009,1.0000000000,"[2545, 24]",4B,2022
5,cora_aligned,0.0485713221,0.0975159705,0.0485713221,0.0975159705,1.0000000000,"[2545, 24]",4B,2022
6,cora_aligned,0.0562966131,0.1107278690,0.0562966131,0.1107278690,1.0000000000,"[2545, 24]",4B,2022
7,cora_aligned,0.0561145954,0.1055733785,0.0561145954,0.1055733785,1.0000000000,"[2545, 24]",4B,2022
8,cora_aligned,0.0425705947,0.0815972760,0.0425705947,0.0815972760,1.0000000000,"[2545, 24]",4B,2022
9,cora_aligned,0.0502491221,0.0990960076,0.0502491221,0.0990960076,1.0000000000,"[2545, 24]",4B,2022
0,cora_shuffled,0.0782671645,0.1659987271,0.0782671645,0.1659987271,1.0000000000,"[2545, 24]",4B,2022
1,cora_shuffled,0.0884466171,0.1985883415,0.0884466171,0.1985883415,1.0000000000,"[2545, 24]",4B,2022
2,cora_shuffled,0.0851225927,0.1892099530,0.0851225927,0.1892099530,1.0000000000,"[2545, 24]",4B,2022
3,cora_shuffled,0.0860416889,0.1803560704,0.0860416889,0.1803560704,1.0000000000,"[2545, 24]",4B,2022
4,cora_shuffled,0.0906479359,0.2004863918,0.0906479359,0.2004863918,1.0000000000,"[2545, 24]",4B,2022
5,cora_shuffled,0.0863570645,0.1895327717,0.0863570645,0.1895327717,1.0000000000,"[2545, 24]",4B,2022
6,cora_shuffled,0.0933500230,0.2055435181,0.0933500230,0.2055435181,1.0000000000,"[2545, 24]",4B,2022
7,cora_shuffled,0.0937836692,0.1969685256,0.0937836692,0.1969685256,1.0000000000,"[2545, 24]",4B,2022
8,cora_shuffled,0.0774770975,0.1625922024,0.0774770975,0.1625922024,1.0000000000,"[2545, 24]",4B,2022
9,cora_shuffled,0.0891471878,0.2085034251,0.0891471878,0.2085034251,1.0000000000,"[2545, 24]",4B,2022
0,chronos2_baseline,0.0563864820,0.1146576628,0.0563864820,0.1146576628,1.0000000000,"[2545, 24]",4B,2023
